bounce_number,time_of_bounce,quadrant_of_bounce
1,0.03143119812011719,
2,0.005297660827636719,
3,0.010276317596435547,
4,0.01014852523803711,
5,0.010076045989990234,
6,0.010034561157226562,
7,0.010329961776733398,
8,0.010365009307861328,
9,0.010012388229370117,
10,0.014976024627685547,
11,0.015096902847290039,
12,0.010232210159301758,
13,0.004999399185180664,
14,0.015042781829833984,
15,0.009887218475341797,
16,0.010149955749511719,
17,0.009992122650146484,
18,0.01049494743347168,
19,0.010074377059936523,
20,0.010065793991088867,
21,0.010397911071777344,
22,0.010840415954589844,
23,0.010345935821533203,
24,0.008008241653442383,
25,0.01921248435974121,
26,0.01267862319946289,
27,0.004922151565551758,
28,0.012615203857421875,
29,0.011356592178344727,
30,0.005476951599121094,
31,0.004991769790649414,
32,0.0104522705078125,
33,0.010254383087158203,
34,0.009918928146362305,
35,0.007517099380493164,
36,0.009906530380249023,
37,0.010376691818237305,
38,0.01001286506652832,
39,0.014582157135009766,
40,0.025205373764038086,1
41,0.010431051254272461,1
42,0.004996061325073242,1
43,0.015222787857055664,1
44,0.012235403060913086,1
45,0.004996299743652344,1
46,0.010093212127685547,1
47,0.00999307632446289,1
48,0.01031804084777832,1
49,0.010201215744018555,1
50,0.011429071426391602,1
51,0.015449047088623047,1
52,0.01564931869506836,1
53,0.009506940841674805,1
54,0.015716075897216797,1
55,0.010225296020507812,1
56,0.010104179382324219,1
57,0.014985084533691406,1
58,0.015080690383911133,1
59,0.010248184204101562,1
60,0.010635137557983398,1
61,0.013552427291870117,1
62,0.013767719268798828,1
63,0.010561704635620117,1
64,0.010133504867553711,1
65,0.009991884231567383,1
66,0.010570526123046875,1
67,0.010123491287231445,1
68,0.015443086624145508,1
69,0.015933990478515625,1
70,0.015137672424316406,1
71,0.015406370162963867,1
72,0.02090167999267578,1
73,0.020351409912109375,1
74,0.014463186264038086,1
75,0.01001882553100586,1
76,0.020112276077270508,1
77,0.015411376953125,1
78,0.015383005142211914,1
79,0.014989376068115234,1
80,0.020028352737426758,1
81,0.009991884231567383,1
82,0.010004758834838867,1
83,0.010296821594238281,1
84,0.014564275741577148,1
85,0.01500701904296875,1
86,0.01033473014831543,2
87,0.01025533676147461,2
88,0.010361909866333008,2
89,0.010179996490478516,2
90,0.015175819396972656,Out of Bounds
91,0.010024785995483398,Out of Bounds
92,0.010473251342773438,Out of Bounds
93,0.010016441345214844,Out of Bounds
94,0.011464595794677734,Out of Bounds
95,0.018161296844482422,Out of Bounds
96,0.010011434555053711,Out of Bounds
97,0.015060901641845703,Out of Bounds
98,0.009990215301513672,Out of Bounds
99,0.0049970149993896484,Out of Bounds
100,0.005082130432128906,Out of Bounds
101,0.0049970149993896484,Out of Bounds
102,0.0050008296966552734,Out of Bounds
103,0.010001897811889648,Out of Bounds
104,0.010263919830322266,Out of Bounds
105,0.010088205337524414,Out of Bounds
106,0.014918804168701172,Out of Bounds
107,0.010008811950683594,Out of Bounds
108,0.00505375862121582,Out of Bounds
